artist,songs,chart_entries,avg_rank,best_rank,avg_popularity,peak_popularity,chart_strength,fandom_intensity,fandom_rank
Jimin,24,4350,16.64183908045977,1,78.54413793103448,96,81.45114942528735,682.4108421126944,1
Jung Kook,14,1937,16.707795560144554,1,85.48786783686113,98,84.89003613835828,642.5676406072563,2
NewJeans,21,2902,28.406271536871124,1,83.2222605099931,95,77.907994486561,621.1993912358251,3
V,16,1381,25.38740043446778,3,86.56987690079653,96,81.09123823316438,586.3940172003162,4
Lim Young Woong,23,4788,28.686925647451964,5,61.42606516290727,73,66.86956975772765,566.6578764198086,5
LE SSERAFIM,14,941,24.20297555791711,2,82.64930924548352,91,79.7231668437832,545.9446670521588,6
aespa,21,909,23.019801980198018,1,77.45434543454346,88,77.71727172717272,529.5223253382258,7
ILLIT,6,371,19.32345013477089,1,82.2911051212938,94,81.98382749326146,485.253572699655,8
IVE,9,496,26.826612903225808,2,79.22983870967742,89,76.70161290322581,476.20886885649224,9
Fast & Furious: The Fast Saga & Jimin & BTS,3,369,19.8130081300813,1,78.01626016260163,90,79.60162601626016,470.7244547008479,10
Sabrina Carpenter,3,257,30.618677042801558,11,95.7431906614786,100,83.06225680933852,461.24135509463724,11
Jung Kook & Latto,6,155,9.470967741935484,1,91.03225806451613,100,91.28064516129032,460.9541143133553,12
Taylor Swift,7,306,37.72549019607843,9,96.23529411764706,100,79.75490196078431,456.74418065315535,13
Billie Eilish,3,218,29.559633027522935,12,96.52752293577981,100,83.98394495412845,452.59550351075876,14
(G)I-DLE,6,312,26.689102564102566,4,78.87820512820512,90,76.59455128205127,440.12785495491437,15
RIIZE,10,530,32.19056603773585,8,68.17924528301887,79,68.49433962264152,429.7856809341979,16
Charlie Puth,3,262,27.209923664122137,6,80.18702290076335,88,76.9885496183206,428.99205718724306,17
KISS OF LIFE,4,237,23.11814345991561,6,78.74261603375527,82,78.31223628691983,428.5457540225425,18
Agust D,2,293,32.33788395904437,14,81.83276450511946,91,75.24744027303754,427.67482907986204,19
BTS,6,211,29.86729857819905,5,87.78199052132702,96,79.45734597156398,425.6201288531451,20
Jung Kook & Jack Harlow,4,145,9.372413793103448,2,78.61379310344827,89,85.12068965517241,424.20803260989754,21
Lady Gaga & Bruno Mars,1,103,17.25242718446602,10,96.80582524271844,100,90.2766990291262,419.28027937539855,22
Jung Kook & BTS,1,161,22.142857142857142,10,84.7888198757764,88,81.82298136645963,416.2823001377876,23
FIFTY FIFTY,2,117,25.64957264957265,10,93.57264957264957,99,84.46153846153845,402.9393628971769,24
YOASOBI,1,118,23.906779661016948,7,89.27118644067797,92,83.1822033898305,397.5380224291205,25
Tommy Richman,1,118,26.550847457627118,12,90.77966101694915,99,82.61440677966101,394.8244523101504,26
DAY6,12,435,31.432183908045978,4,60.0919540229885,67,64.82988505747127,394.01284805674976,27
Ariana Grande,6,123,30.276422764227643,11,92.39837398373983,97,81.5609756097561,393.14686720446934,28
BABYMONSTER,3,122,23.040983606557376,9,81.94262295081967,88,79.95081967213115,384.73808362543076,29
TAEYEON,3,159,24.566037735849058,12,74.23899371069183,77,75.33647798742139,382.34572041370063,30
JENNIE,3,112,22.232142857142858,2,82.65178571428571,89,80.70982142857142,381.54662667187677,31
TWS,2,151,26.00662251655629,8,74.18543046357615,78,74.58940397350993,374.7282536840504,32
ZICO & JENNIE,1,87,19.32183908045977,2,83.82758620689656,87,82.7528735632184,370.5124873084581,33
