song_id,song,artist,reentry_date,previous_rank,reentry_rank,rank_jump,previous_popularity,reentry_popularity,popularity_change,popularity_change_rate,peak_rank_after_reentry,peak_date,peak_improvement,retention_days,rank_recovery_speed,rank_volatility,momentum_score
K-POP - Travis Scott & Bad Bunny & The Weeknd,K-POP,Travis Scott & Bad Bunny & The Weeknd,2024-07-29,47,46,1,4,91,87,2175.0,46,2024-07-29,0,2,0.0,0.0,544.05
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM) - MAX,STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,2025-03-06,46,49,-3,42,72,30,71.42857142857143,28,2025-04-04,21,46,0.7241379310344828,5.2831817603112174,23.251970443349755
Lost and Found - KingLee & Lil' Flip,Lost and Found,KingLee & Lil' Flip,2025-01-16,27,8,19,48,64,16,33.33333333333333,8,2025-01-16,0,2,0.0,0.0,14.033333333333331
No Tomorrow - Spotify Singles - Various Artists,No Tomorrow - Spotify Singles,Various Artists,2025-04-10,50,46,4,30,45,15,50.0,46,2025-04-10,0,2,0.0,0.0,13.7
CHIHIRO - Billie Eilish,CHIHIRO,Billie Eilish,2025-05-23,47,46,1,61,90,29,47.540983606557376,46,2025-05-23,0,3,0.0,0.5,12.185245901639345
Last Christmas - Single Version - Wham!,Last Christmas - Single Version,Wham!,2024-12-23,47,42,5,89,89,0,0.0,13,2024-12-25,29,5,14.5,7.917543811056558,11.65
HAPPY - DAY6,HAPPY,DAY6,2025-08-29,39,42,-3,53,57,4,7.547169811320755,4,2025-10-06,38,91,1.0,2.0626304672539972,11.586792452830188
Get A Guitar - RIIZE,Get A Guitar,RIIZE,2024-12-06,45,49,-4,46,54,8,17.391304347826086,23,2025-02-10,26,140,0.3939393939393939,3.226239302625765,10.9266139657444
I will come to you - Jin,I will come to you,Jin,2025-11-23,37,47,-10,43,53,10,23.25581395348837,30,2025-11-27,17,5,4.25,4.437059837324712,10.913953488372092
Fry’s Dream - AKMU,Fry’s Dream,AKMU,2024-09-05,46,41,5,52,59,7,13.461538461538462,18,2024-09-29,23,52,0.9583333333333334,2.743057572851873,10.807051282051281
Interlude : Dive - Jimin,Interlude : Dive,Jimin,2024-05-24,38,48,-10,78,77,-1,-1.282051282051282,7,2024-06-25,41,402,1.28125,5.49446409710184,10.50625
All I Want for Christmas Is You - Mariah Carey,All I Want for Christmas Is You,Mariah Carey,2024-12-17,44,24,20,98,99,1,1.0204081632653061,9,2024-12-25,15,11,1.875,6.887670143089026,10.380102040816325
OMG - NewJeans,OMG,NewJeans,2025-04-28,48,41,7,82,82,0,0.0,15,2025-05-01,26,170,8.666666666666666,4.021591939849843,10.333333333333332
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version - Fast & Furious: The Fast Saga & Jimin & BTS","Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,2024-10-27,49,50,-1,70,71,1,1.4285714285714286,12,2024-12-11,38,69,0.8444444444444444,4.618716745882802,10.026031746031746
Rainbow - Lim Young Woong,Rainbow,Lim Young Woong,2024-09-10,49,36,13,58,59,1,1.7241379310344827,14,2024-12-03,22,337,0.2619047619047619,2.92245030752878,9.883415435139574
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version - Fast & Furious: The Fast Saga & Jimin & BTS","Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,2024-10-31,50,46,4,71,71,0,0.0,12,2024-12-11,34,65,0.8292682926829268,4.664938671544553,9.865853658536585
