song_id,song,artist,comeback_number,reentry_date,reentry_rank,reentry_popularity,peak_rank,peak_date,retention_days,average_rank,average_popularity,rank_decay,days_to_peak,rank_recovery_speed,rank_stability,first_entry_rank,first_entry_popularity,first_entry_peak_rank,first_entry_retention_days,first_entry_average_rank,first_entry_average_popularity,rank_improvement_vs_first_entry,peak_improvement_vs_first_entry,retention_change_vs_first_entry
3D (Justin Timberlake Remix) - Jung Kook & Justin Timberlake,3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,1,2024-12-03,38,75,36,2024-12-04,3,40.0,75.66666666666667,10,1,2.0,5.291502622129181,21,0,21,3,25.0,46.0,-17,-15,0
3D (feat. Jack Harlow) (Instrumental) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,1,2024-10-09,50,60,38,2024-10-10,5,43.0,61.4,11,1,12.0,6.0,9,0,9,6,15.666666666666666,42.0,-41,-29,-1
3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,1,2025-03-02,6,85,5,2025-03-06,12,5.333333333333333,83.66666666666667,0,4,0.25,0.4923659639173309,6,86,3,40,5.525,85.6,0,-2,-28
3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,2,2025-03-15,6,83,4,2025-03-17,10,4.4,82.1,0,2,1.0,0.699205898780101,6,86,3,40,5.525,85.6,0,-1,-30
3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,3,2025-03-26,5,82,5,2025-03-26,107,9.186915887850468,79.34579439252336,6,0,0.0,3.8611046447569977,6,86,3,40,5.525,85.6,1,-2,67
3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,4,2025-07-12,10,78,5,2025-08-12,32,9.6875,78.8125,0,31,0.16129032258064516,1.712148245013622,6,86,3,40,5.525,85.6,-4,-2,-8
3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,5,2025-08-14,5,79,4,2025-09-28,106,8.264150943396226,77.69811320754717,9,45,0.022222222222222223,3.667883486731441,6,86,3,40,5.525,85.6,1,-1,66
A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,1,2024-10-16,50,57,50,2024-10-16,1,50.0,57.0,0,0,0.0,0.0,50,56,50,1,50.0,56.0,0,0,0
A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,2,2024-10-19,49,57,49,2024-10-19,1,49.0,57.0,0,0,0.0,0.0,50,56,50,1,50.0,56.0,1,1,0
A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,3,2024-10-21,45,57,25,2024-12-03,112,35.92857142857143,59.32142857142857,20,43,0.46511627906976744,4.842965151052757,50,56,50,1,50.0,56.0,5,25,111
A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,4,2025-02-11,49,58,49,2025-02-11,2,49.5,58.0,1,0,0.0,0.7071067811865476,50,56,50,1,50.0,56.0,1,1,1
A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,5,2025-02-19,45,58,45,2025-02-19,2,45.0,58.0,0,0,0.0,0.0,50,56,50,1,50.0,56.0,5,5,1
A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,6,2025-02-26,46,58,46,2025-02-26,2,46.0,58.0,0,0,0.0,0.0,50,56,50,1,50.0,56.0,4,4,1
A bientot - Lim Young Woong,A bientot,Lim Young Woong,1,2024-06-09,44,58,40,2024-06-10,12,44.583333333333336,58.0,8,1,4.0,2.108783937953269,41,58,34,21,38.523809523809526,58.0,-3,-6,-9
A bientot - Lim Young Woong,A bientot,Lim Young Woong,2,2024-06-22,46,58,39,2024-06-24,13,44.76923076923077,58.0,8,2,3.5,3.0863637221884637,41,58,34,21,38.523809523809526,58.0,-5,-5,-8
A bientot - Lim Young Woong,A bientot,Lim Young Woong,3,2024-07-11,47,59,47,2024-07-11,1,47.0,59.0,0,0,0.0,0.0,41,58,34,21,38.523809523809526,58.0,-6,-13,-20
A bientot - Lim Young Woong,A bientot,Lim Young Woong,4,2024-07-13,50,59,50,2024-07-13,1,50.0,59.0,0,0,0.0,0.0,41,58,34,21,38.523809523809526,58.0,-9,-16,-20
A bientot - Lim Young Woong,A bientot,Lim Young Woong,5,2024-07-17,50,59,50,2024-07-17,2,50.0,59.0,0,0,0.0,0.0,41,58,34,21,38.523809523809526,58.0,-9,-16,-19
A bientot - Lim Young Woong,A bientot,Lim Young Woong,6,2024-07-23,50,58,46,2024-07-25,3,48.666666666666664,58.0,0,2,2.0,2.309401076758503,41,58,34,21,38.523809523809526,58.0,-9,-12,-18
A bientot - Lim Young Woong,A bientot,Lim Young Woong,7,2024-08-04,50,57,50,2024-08-04,1,50.0,57.0,0,0,0.0,0.0,41,58,34,21,38.523809523809526,58.0,-9,-16,-20
A bientot - Lim Young Woong,A bientot,Lim Young Woong,8,2024-08-06,49,57,43,2024-08-07,7,45.0,57.0,1,1,6.0,2.160246899469287,41,58,34,21,38.523809523809526,58.0,-8,-9,-14
A bientot - Lim Young Woong,A bientot,Lim Young Woong,9,2024-08-28,49,57,49,2024-08-28,1,49.0,57.0,0,0,0.0,0.0,41,58,34,21,38.523809523809526,58.0,-8,-15,-20
A bientot - Lim Young Woong,A bientot,Lim Young Woong,10,2024-09-03,50,57,46,2024-09-04,2,48.0,57.0,0,1,4.0,2.8284271247461903,41,58,34,21,38.523809523809526,58.0,-9,-12,-19
A bientot - Lim Young Woong,A bientot,Lim Young Woong,11,2024-09-10,44,57,44,2024-09-10,5,45.4,57.8,4,0,0.0,1.9493588689617927,41,58,34,21,38.523809523809526,58.0,-3,-10,-16
A bientot - Lim Young Woong,A bientot,Lim Young Woong,12,2024-09-19,50,57,50,2024-09-19,3,50.0,57.0,0,0,0.0,0.0,41,58,34,21,38.523809523809526,58.0,-9,-16,-18
A bientot - Lim Young Woong,A bientot,Lim Young Woong,13,2024-09-23,49,57,43,2024-09-25,5,46.4,57.0,5,2,3.0,3.1304951684997055,41,58,34,21,38.523809523809526,58.0,-8,-9,-16
A bientot - Lim Young Woong,A bientot,Lim Young Woong,14,2024-09-30,50,57,45,2024-10-02,6,47.333333333333336,57.0,2,2,2.5,2.250925735484551,41,58,34,21,38.523809523809526,58.0,-9,-11,-15
A bientot - Lim Young Woong,A bientot,Lim Young Woong,15,2024-10-09,48,57,48,2024-10-09,1,48.0,57.0,0,0,0.0,0.0,41,58,34,21,38.523809523809526,58.0,-7,-14,-20
A bientot - Lim Young Woong,A bientot,Lim Young Woong,16,2024-10-13,45,57,18,2024-11-30,139,29.676258992805757,60.33812949640288,23,48,0.5625,6.559886694119269,41,58,34,21,38.523809523809526,58.0,-4,16,118
A bientot - Lim Young Woong,A bientot,Lim Young Woong,17,2025-03-02,40,59,38,2025-03-04,12,39.25,58.333333333333336,1,2,1.0,1.2880570286640687,41,58,34,21,38.523809523809526,58.0,1,-4,-9
A bientot - Lim Young Woong,A bientot,Lim Young Woong,18,2025-03-15,38,57,38,2025-03-15,10,41.5,57.0,2,0,0.0,2.5495097567963922,41,58,34,21,38.523809523809526,58.0,3,-4,-11
A bientot - Lim Young Woong,A bientot,Lim Young Woong,19,2025-03-26,38,56,38,2025-03-26,9,43.44444444444444,56.0,9,0,0.0,3.431876713662333,41,58,34,21,38.523809523809526,58.0,3,-4,-12
A bientot - Lim Young Woong,A bientot,Lim Young Woong,20,2025-04-05,46,56,40,2025-04-17,13,44.07692307692308,56.0,0,12,0.5,2.660248687044705,41,58,34,21,38.523809523809526,58.0,-5,-6,-8
A bientot - Lim Young Woong,A bientot,Lim Young Woong,21,2025-04-19,43,56,43,2025-04-19,4,46.0,56.75,6,0,0.0,3.4641016151377544,41,58,34,21,38.523809523809526,58.0,-2,-9,-17
A bientot - Lim Young Woong,A bientot,Lim Young Woong,22,2025-04-24,49,56,46,2025-04-25,3,47.666666666666664,56.0,2,1,3.0,1.5275252316519465,41,58,34,21,38.523809523809526,58.0,-8,-12,-18
A bientot - Lim Young Woong,A bientot,Lim Young Woong,23,2025-05-07,43,55,43,2025-05-07,1,43.0,55.0,0,0,0.0,0.0,41,58,34,21,38.523809523809526,58.0,-2,-9,-20
A bientot - Lim Young Woong,A bientot,Lim Young Woong,24,2025-06-24,45,51,45,2025-06-24,2,45.0,51.0,0,0,0.0,0.0,41,58,34,21,38.523809523809526,58.0,-4,-11,-19
A bientot - Lim Young Woong,A bientot,Lim Young Woong,25,2025-07-18,48,55,48,2025-07-18,3,48.333333333333336,55.0,0,0,0.0,0.5773502691896258,41,58,34,21,38.523809523809526,58.0,-7,-14,-18
ABCD - NAYEON,ABCD,NAYEON,1,2025-07-12,44,67,44,2025-07-12,2,44.0,67.0,0,0,0.0,0.0,32,45,26,24,35.375,60.375,-12,-18,-22
AK47 - Men's Tear & 뷰티풀너드,AK47,Men's Tear & 뷰티풀너드,1,2025-03-15,35,52,34,2025-03-16,10,40.5,52.0,9,1,1.0,5.0387388192769915,20,39,20,12,26.916666666666668,48.416666666666664,-15,-14,-2
AK47 - Men's Tear & 뷰티풀너드,AK47,Men's Tear & 뷰티풀너드,2,2025-03-26,40,52,40,2025-03-26,2,43.0,52.0,6,0,0.0,4.242640687119285,20,39,20,12,26.916666666666668,48.416666666666664,-20,-20,-10
ANTIFRAGILE - LE SSERAFIM,ANTIFRAGILE,LE SSERAFIM,1,2024-07-17,49,79,49,2024-07-17,2,49.0,79.0,0,0,0.0,0.0,29,74,26,48,34.541666666666664,77.33333333333333,-20,-23,-46
All I Want for Christmas Is You - Mariah Carey,All I Want for Christmas Is You,Mariah Carey,1,2024-12-17,24,99,9,2024-12-25,11,24.545454545454547,99.9090909090909,1,8,1.875,12.127354504290178,44,98,44,1,44.0,98.0,20,35,10
All Or Nothing - J Money & KingLee,All Or Nothing,J Money & KingLee,1,2025-01-17,26,52,26,2025-01-17,1,26.0,52.0,0,0,0.0,0.0,30,45,30,1,30.0,45.0,4,4,0
Alone - Jimin,Alone,Jimin,1,2025-03-02,22,78,21,2025-03-10,12,25.333333333333332,77.58333333333333,2,8,0.125,3.1718458443950364,26,80,5,287,19.264808362369337,79.93379790940766,4,-16,-275
Alone - Jimin,Alone,Jimin,2,2025-03-15,23,77,15,2025-03-22,10,21.1,76.1,6,7,1.1428571428571428,3.0713731999438516,26,80,5,287,19.264808362369337,79.93379790940766,3,-10,-277
Alone - Jimin,Alone,Jimin,3,2025-03-26,23,76,20,2025-04-17,65,29.43076923076923,74.32307692307693,20,22,0.13636363636363635,6.299725268735015,26,80,5,287,19.264808362369337,79.93379790940766,3,-15,-222
Alone - Jimin,Alone,Jimin,4,2025-05-31,45,72,45,2025-05-31,1,45.0,72.0,0,0,0.0,0.0,26,80,5,287,19.264808362369337,79.93379790940766,-19,-40,-286
Alone - Jimin,Alone,Jimin,5,2025-06-02,44,72,26,2025-06-29,28,37.92857142857143,68.32142857142857,0,27,0.6666666666666666,5.5506327395643655,26,80,5,287,19.264808362369337,79.93379790940766,-18,-21,-259
Alone - Jimin,Alone,Jimin,6,2025-07-01,50,71,50,2025-07-01,1,50.0,71.0,0,0,0.0,0.0,26,80,5,287,19.264808362369337,79.93379790940766,-24,-45,-286
Alone - Jimin,Alone,Jimin,7,2025-07-19,43,71,43,2025-07-19,2,46.5,71.0,7,0,0.0,4.949747468305833,26,80,5,287,19.264808362369337,79.93379790940766,-17,-38,-285
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version - Fast & Furious: The Fast Saga & Jimin & BTS","Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,1,2024-09-14,35,70,35,2024-09-14,3,44.333333333333336,70.0,14,0,0.0,8.082903768654761,14,79,10,18,30.72222222222222,80.77777777777777,-21,-25,-15
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version - Fast & Furious: The Fast Saga & Jimin & BTS","Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,2,2024-10-27,50,71,50,2024-10-27,2,50.0,71.0,0,0,0.0,0.0,14,79,10,18,30.72222222222222,80.77777777777777,-36,-40,-16
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version - Fast & Furious: The Fast Saga & Jimin & BTS","Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,3,2024-10-31,46,71,12,2024-12-11,57,22.07017543859649,69.45614035087719,29,41,0.8292682926829268,6.750290070811792,14,79,10,18,30.72222222222222,80.77777777777777,-32,-2,39
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version - Fast & Furious: The Fast Saga & Jimin & BTS","Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,4,2024-12-28,41,65,41,2024-12-28,7,44.57142857142857,65.71428571428571,4,0,0.0,2.9358214555806383,14,79,10,18,30.72222222222222,80.77777777777777,-27,-31,-11
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long) - Fast & Furious: The Fast Saga & Jimin & BTS","Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,1,2024-07-31,45,74,42,2024-08-03,20,46.1,72.85,5,3,1.0,2.4687520819444924,5,55,5,42,22.357142857142858,73.47619047619048,-40,-37,-22
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long) - Fast & Furious: The Fast Saga & Jimin & BTS","Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,2,2024-08-24,50,72,50,2024-08-24,1,50.0,72.0,0,0,0.0,0.0,5,55,5,42,22.357142857142858,73.47619047619048,-45,-45,-41
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long) - Fast & Furious: The Fast Saga & Jimin & BTS","Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,3,2024-11-03,44,69,44,2024-11-03,2,46.0,69.0,4,0,0.0,2.8284271247461903,5,55,5,42,22.357142857142858,73.47619047619048,-39,-39,-40
Armageddon - aespa,Armageddon,aespa,1,2025-07-12,16,79,15,2025-07-14,32,19.25,78.71875,4,2,0.5,2.747432819337753,8,64,4,43,9.348837209302326,75.86046511627907,-8,-11,-11
Armageddon - aespa,Armageddon,aespa,2,2025-08-14,16,78,14,2025-08-15,38,22.55263157894737,77.6842105263158,14,1,2.0,4.825032521503913,8,64,4,43,9.348837209302326,75.86046511627907,-8,-10,-5
Armageddon - aespa,Armageddon,aespa,3,2025-09-22,38,77,30,2025-09-23,14,36.357142857142854,76.42857142857143,9,1,8.0,3.586451918350135,8,64,4,43,9.348837209302326,75.86046511627907,-30,-26,-29
Armageddon - aespa,Armageddon,aespa,4,2025-10-07,33,75,22,2025-10-14,44,32.45454545454545,65.77272727272727,19,7,1.5714285714285714,4.8390588430249455,8,64,4,43,9.348837209302326,75.86046511627907,-25,-18,1
Armageddon - aespa,Armageddon,aespa,5,2025-11-21,50,72,38,2025-11-23,7,45.57142857142857,72.0,11,2,6.0,4.429339411136565,8,64,4,43,9.348837209302326,75.86046511627907,-42,-34,-36
Armageddon - aespa & Grimes & Flava D,Armageddon,aespa & Grimes & Flava D,1,2025-10-06,36,36,36,2025-10-06,1,36.0,36.0,0,0,0.0,0.0,31,0,31,1,31.0,0.0,-5,-5,0
Attention - NewJeans,Attention,NewJeans,1,2024-07-07,37,85,26,2024-07-14,55,35.45454545454545,84.14545454545454,22,7,1.5714285714285714,4.29391551357388,30,84,27,48,30.083333333333332,84.0,-7,1,7
Attention - NewJeans,Attention,NewJeans,2,2024-09-01,49,83,47,2024-09-03,4,48.5,83.0,2,2,1.0,1.0,30,84,27,48,30.083333333333332,84.0,-19,-20,-44
Attention - NewJeans,Attention,NewJeans,3,2024-09-15,48,83,45,2024-09-17,12,48.5,81.83333333333333,4,2,1.5,1.3142574813455419,30,84,27,48,30.083333333333332,84.0,-18,-18,-36
Attention - NewJeans,Attention,NewJeans,4,2024-09-28,49,81,48,2024-09-29,2,48.5,81.0,0,1,1.0,0.7071067811865476,30,84,27,48,30.083333333333332,84.0,-19,-21,-46
Attention - NewJeans,Attention,NewJeans,5,2025-04-28,38,78,34,2025-04-29,14,42.642857142857146,78.0,16,1,4.0,4.829510930122824,30,84,27,48,30.083333333333332,84.0,-8,-7,-34
Attention - NewJeans,Attention,NewJeans,6,2025-05-14,50,78,50,2025-05-14,1,50.0,78.0,0,0,0.0,0.0,30,84,27,48,30.083333333333332,84.0,-20,-23,-47
Attention - NewJeans,Attention,NewJeans,7,2025-05-19,48,78,48,2025-05-19,1,48.0,78.0,0,0,0.0,0.0,30,84,27,48,30.083333333333332,84.0,-18,-21,-47
Attention - NewJeans,Attention,NewJeans,8,2025-06-01,50,77,44,2025-06-08,8,47.125,76.5,0,7,0.8571428571428571,2.2320714274285347,30,84,27,48,30.083333333333332,84.0,-20,-17,-40
Attention - NewJeans,Attention,NewJeans,9,2025-06-14,48,72,48,2025-06-14,4,48.5,71.5,2,0,0.0,1.0,30,84,27,48,30.083333333333332,84.0,-18,-21,-44
Attention - NewJeans,Attention,NewJeans,10,2025-06-28,50,75,49,2025-06-29,2,49.5,75.0,0,1,1.0,0.7071067811865476,30,84,27,48,30.083333333333332,84.0,-20,-22,-46
BIRDS OF A FEATHER - Billie Eilish,BIRDS OF A FEATHER,Billie Eilish,1,2025-05-28,41,93,19,2025-06-12,44,27.954545454545453,94.86363636363636,7,15,1.4666666666666666,6.961537338416343,47,86,31,6,40.0,89.33333333333333,6,12,38
BIRDS OF A FEATHER - Billie Eilish,BIRDS OF A FEATHER,Billie Eilish,2,2025-07-12,28,98,26,2025-07-17,32,28.96875,98.9375,1,5,0.4,3.1158737706843502,47,86,31,6,40.0,89.33333333333333,19,5,26
BIRDS OF A FEATHER - Billie Eilish,BIRDS OF A FEATHER,Billie Eilish,3,2025-08-14,18,100,15,2025-08-15,103,29.766990291262136,98.63106796116504,31,1,3.0,6.572676482755229,47,86,31,6,40.0,89.33333333333333,29,16,97
Baddie - IVE,Baddie,IVE,1,2024-12-09,49,82,39,2024-12-11,10,46.1,82.0,11,2,5.0,3.2812599206199238,24,0,10,49,28.0,77.55102040816327,-25,-29,-39
Baddie - IVE,Baddie,IVE,2,2025-01-05,50,80,48,2025-01-06,2,49.0,80.0,0,1,2.0,1.4142135623730951,24,0,10,49,28.0,77.55102040816327,-26,-38,-47
Baddie - IVE,Baddie,IVE,3,2025-01-22,49,81,49,2025-01-22,1,49.0,81.0,0,0,0.0,0.0,24,0,10,49,28.0,77.55102040816327,-25,-39,-48
Baggy Jeans - NCT,Baggy Jeans,NCT,1,2024-09-28,50,64,50,2024-09-28,1,50.0,64.0,0,0,0.0,0.0,23,47,23,23,37.0,61.17391304347826,-27,-27,-22
Bam Yang Gang - BIBI,Bam Yang Gang,BIBI,1,2025-03-02,5,75,4,2025-03-03,12,6.666666666666667,76.41666666666667,5,1,1.0,1.8257418583505538,44,48,4,14,7.857142857142857,64.42857142857143,39,0,-2
Bam Yang Gang - BIBI,Bam Yang Gang,BIBI,2,2025-03-15,10,77,10,2025-03-15,10,12.6,77.0,6,0,0.0,2.065591117977289,44,48,4,14,7.857142857142857,64.42857142857143,34,-6,-4
Bam Yang Gang - BIBI,Bam Yang Gang,BIBI,3,2025-03-26,14,77,14,2025-03-26,36,27.75,76.61111111111111,31,0,0.0,7.762087348130012,44,48,4,14,7.857142857142857,64.42857142857143,30,-10,22
Bam Yang Gang - BIBI,Bam Yang Gang,BIBI,4,2025-05-05,47,76,43,2025-05-06,3,46.0,76.0,5,1,4.0,2.6457513110645907,44,48,4,14,7.857142857142857,64.42857142857143,-3,-39,-11
Be Mine - Jimin,Be Mine,Jimin,1,2025-08-14,3,82,2,2025-08-28,106,2.9245283018867925,80.13207547169812,2,14,0.07142857142857142,1.0207197573285718,6,71,2,23,4.0,80.04347826086956,3,0,83
Beautiful Things - Benson Boone,Beautiful Things,Benson Boone,1,2025-02-03,50,92,50,2025-02-03,1,50.0,92.0,0,0,0.0,0.0,48,91,48,1,48.0,91.0,-2,-2,0
Beautiful Things - Benson Boone,Beautiful Things,Benson Boone,2,2025-02-05,46,93,26,2025-02-11,24,31.041666666666668,96.625,2,6,3.3333333333333335,6.188904283625985,48,91,48,1,48.0,91.0,2,22,23
